Ensembl Gene ID	GO Term Name
ENSG00000169900	positive regulation of interleukin-1 beta secretion
ENSG00000186732	
ENSG00000169247	cell death
ENSG00000169247	protein binding
ENSG00000186732	
ENSG00000169247	
ENSG00000169247	cell death
ENSG00000169247	protein binding
ENSG00000169247	plasma membrane
ENSG00000169247	cytoplasmic vesicle
ENSG00000169247	recycling endosome
ENSG00000169247	myelination in peripheral nervous system
ENSG00000169247	regulation of intracellular protein transport
ENSG00000169247	peripheral nervous system myelin maintenance
ENSG00000169247	regulation of ERBB signaling pathway
ENSG00000186732	metabolic process
ENSG00000186732	hydrolase activity
ENSG00000186732	molecular_function
ENSG00000186732	cellular_component
ENSG00000186732	biological_process
ENSG00000169247	cell death
ENSG00000169247	protein binding
ENSG00000112309	Golgi membrane
ENSG00000112309	carbohydrate metabolic process
ENSG00000112309	protein glycosylation
ENSG00000112309	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
ENSG00000112309	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
ENSG00000112309	integral component of membrane
ENSG00000112309	glycosaminoglycan metabolic process
ENSG00000112309	chondroitin sulfate metabolic process
ENSG00000112309	small molecule metabolic process
ENSG00000112309	metal ion binding
ENSG00000112309	membrane
ENSG00000169247	
ENSG00000112309	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
ENSG00000112309	membrane
ENSG00000169247	
ENSG00000254585	protein binding
ENSG00000174498	protein binding
ENSG00000174498	integral component of plasma membrane
ENSG00000174498	neuromuscular process controlling balance
ENSG00000174498	protein binding
ENSG00000174498	protein binding
ENSG00000152034	G-protein coupled receptor activity
ENSG00000152034	plasma membrane
ENSG00000152034	G-protein coupled receptor signaling pathway
ENSG00000152034	integral component of membrane
ENSG00000152034	G-protein coupled receptor activity
ENSG00000152034	plasma membrane
ENSG00000152034	G-protein coupled receptor signaling pathway
ENSG00000152034	integral component of membrane
ENSG00000205927	DNA binding
ENSG00000205927	nucleus
ENSG00000205927	cytoplasm
ENSG00000205927	protein dimerization activity
ENSG00000205927	
ENSG00000205927	DNA binding
ENSG00000205927	nucleus
ENSG00000205927	cytoplasm
ENSG00000205927	protein dimerization activity
ENSG00000205927	protein binding
ENSG00000205927	protein homodimerization activity
ENSG00000205927	negative regulation of transcription from RNA polymerase II promoter
ENSG00000205927	transcription from RNA polymerase II promoter
ENSG00000205927	negative regulation of neuron differentiation
ENSG00000205927	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity
ENSG00000205927	nervous system development
ENSG00000205927	oligodendrocyte differentiation
ENSG00000205927	neuron fate commitment
ENSG00000205927	myelination
ENSG00000205927	spinal cord motor neuron differentiation
ENSG00000205927	positive regulation of oligodendrocyte differentiation
ENSG00000205927	HMG box domain binding
ENSG00000205927	thalamus development
ENSG00000205927	spinal cord oligodendrocyte cell differentiation
ENSG00000205927	spinal cord oligodendrocyte cell fate specification
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000164707	transporter activity
ENSG00000164707	sodium ion transport
ENSG00000164707	membrane
ENSG00000164707	transmembrane transport
ENSG00000164707	transmembrane transport
ENSG00000164707	plasma membrane
ENSG00000164707	integral component of plasma membrane
ENSG00000164707	sulfate transport
ENSG00000164707	sodium:sulfate symporter activity
ENSG00000164707	sodium ion transmembrane transport
ENSG00000164707	integral component of membrane
ENSG00000187416	integral component of membrane
ENSG00000187416	
ENSG00000164707	transporter activity
ENSG00000164707	sodium ion transport
ENSG00000164707	membrane
ENSG00000164707	transmembrane transport
ENSG00000164707	transporter activity
ENSG00000164707	sodium ion transport
ENSG00000164707	membrane
ENSG00000164707	transmembrane transport
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	integral component of membrane
ENSG00000171189	cell junction
ENSG00000171189	ion transmembrane transport
ENSG00000171189	ionotropic glutamate receptor signaling pathway
ENSG00000171189	postsynaptic membrane
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	transport
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	plasma membrane
ENSG00000171189	integral component of plasma membrane
ENSG00000171189	transport
ENSG00000171189	transport
ENSG00000171189	glutamate receptor signaling pathway
ENSG00000171189	synaptic transmission
ENSG00000171189	nervous system development
ENSG00000171189	central nervous system development
ENSG00000171189	kainate selective glutamate receptor activity
ENSG00000171189	cell junction
ENSG00000171189	dendrite
ENSG00000171189	kainate selective glutamate receptor complex
ENSG00000171189	ion transmembrane transport
ENSG00000171189	ionotropic glutamate receptor signaling pathway
ENSG00000171189	synaptic transmission, glutamatergic
ENSG00000171189	presynaptic membrane
ENSG00000171189	postsynaptic membrane
ENSG00000171189	regulation of synaptic transmission, glutamatergic
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	integral component of membrane
ENSG00000171189	cell junction
ENSG00000171189	ion transmembrane transport
ENSG00000171189	ionotropic glutamate receptor signaling pathway
ENSG00000171189	postsynaptic membrane
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	transport
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	integral component of membrane
ENSG00000171189	cell junction
ENSG00000171189	ion transmembrane transport
ENSG00000171189	ionotropic glutamate receptor signaling pathway
ENSG00000171189	postsynaptic membrane
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	transport
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	integral component of membrane
ENSG00000171189	cell junction
ENSG00000171189	ion transmembrane transport
ENSG00000171189	ionotropic glutamate receptor signaling pathway
ENSG00000171189	postsynaptic membrane
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	transport
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	integral component of membrane
ENSG00000171189	cell junction
ENSG00000171189	ion transmembrane transport
ENSG00000171189	ionotropic glutamate receptor signaling pathway
ENSG00000171189	postsynaptic membrane
ENSG00000171189	postsynaptic membrane
ENSG00000171189	plasma membrane
ENSG00000171189	integral component of plasma membrane
ENSG00000171189	transport
ENSG00000171189	transport
ENSG00000171189	glutamate receptor signaling pathway
ENSG00000171189	synaptic transmission
ENSG00000171189	nervous system development
ENSG00000171189	central nervous system development
ENSG00000171189	kainate selective glutamate receptor activity
ENSG00000171189	dendrite
ENSG00000171189	kainate selective glutamate receptor complex
ENSG00000171189	synaptic transmission, glutamatergic
ENSG00000171189	presynaptic membrane
ENSG00000171189	regulation of synaptic transmission, glutamatergic
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	protein binding
ENSG00000171189	dendrite
ENSG00000171189	synapse
ENSG00000171189	regulation of membrane potential
ENSG00000171189	membrane depolarization
ENSG00000171189	postsynaptic density
ENSG00000171189	presynaptic membrane
ENSG00000171189	regulation of inhibitory postsynaptic membrane potential
ENSG00000171189	adult behavior
ENSG00000171189	behavioral response to pain
ENSG00000171189	synaptic transmission, glutamatergic
ENSG00000171189	regulation of excitatory postsynaptic membrane potential
ENSG00000171189	neuronal postsynaptic density
ENSG00000171189	kainate selective glutamate receptor activity
ENSG00000171189	kainate selective glutamate receptor complex
ENSG00000171189	negative regulation of synaptic transmission, glutamatergic
ENSG00000171189	positive regulation of gamma-aminobutyric acid secretion
ENSG00000171189	positive regulation of synaptic transmission, GABAergic
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	integral component of membrane
ENSG00000171189	cell junction
ENSG00000171189	ion transmembrane transport
ENSG00000171189	ionotropic glutamate receptor signaling pathway
ENSG00000171189	postsynaptic membrane
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	transport
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	transport
ENSG00000171189	ionotropic glutamate receptor activity
ENSG00000171189	extracellular-glutamate-gated ion channel activity
ENSG00000171189	membrane
ENSG00000171189	transporter activity
ENSG00000171189	transport
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	voltage-gated calcium channel activity
ENSG00000198216	calcium ion binding
ENSG00000198216	plasma membrane
ENSG00000198216	energy reserve metabolic process
ENSG00000198216	transport
ENSG00000198216	synaptic transmission
ENSG00000198216	high voltage-gated calcium channel activity
ENSG00000198216	small molecule metabolic process
ENSG00000198216	regulation of insulin secretion
ENSG00000198216	membrane depolarization
ENSG00000198216	calcium ion import
ENSG00000198216	membrane depolarization during action potential
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	calcium ion binding
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	voltage-gated calcium channel activity
ENSG00000198216	calcium ion binding
ENSG00000198216	calcium ion transmembrane transport
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	voltage-gated calcium channel activity
ENSG00000198216	calcium ion binding
ENSG00000198216	plasma membrane
ENSG00000198216	energy reserve metabolic process
ENSG00000198216	transport
ENSG00000198216	synaptic transmission
ENSG00000198216	high voltage-gated calcium channel activity
ENSG00000198216	small molecule metabolic process
ENSG00000198216	regulation of insulin secretion
ENSG00000198216	membrane depolarization
ENSG00000198216	calcium ion import
ENSG00000198216	membrane depolarization during action potential
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000101850	membrane
ENSG00000101850	membrane
ENSG00000101850	G-protein coupled receptor activity
ENSG00000101850	G-protein coupled receptor activity
ENSG00000101850	protein binding
ENSG00000101850	cytoplasm
ENSG00000101850	lysosomal membrane
ENSG00000101850	Golgi apparatus
ENSG00000101850	plasma membrane
ENSG00000101850	eye pigment biosynthetic process
ENSG00000101850	signal transduction
ENSG00000101850	G-protein coupled receptor signaling pathway
ENSG00000101850	G-protein coupled receptor signaling pathway
ENSG00000101850	neuropeptide signaling pathway
ENSG00000101850	visual perception
ENSG00000101850	integral component of membrane
ENSG00000101850	apical plasma membrane
ENSG00000101850	melanosome localization
ENSG00000101850	melanosome transport
ENSG00000101850	melanosome organization
ENSG00000101850	melanosome membrane
ENSG00000101850	dopamine binding
ENSG00000101850	calcium-mediated signaling using intracellular calcium source
ENSG00000101850	L-DOPA receptor activity
ENSG00000101850	melanosome
ENSG00000101850	phosphatidylinositol-mediated signaling
ENSG00000101850	regulation of calcium-mediated signaling
ENSG00000101850	L-DOPA binding
ENSG00000101850	tyrosine binding
ENSG00000101850	melanosome transport
ENSG00000101850	melanosome localization
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	calcium ion binding
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000101850	membrane
ENSG00000101850	G-protein coupled receptor activity
ENSG00000101850	G-protein coupled receptor signaling pathway
ENSG00000101850	integral component of membrane
ENSG00000101850	membrane
ENSG00000101850	G-protein coupled receptor activity
ENSG00000101850	G-protein coupled receptor signaling pathway
ENSG00000101850	integral component of membrane
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	calcium ion binding
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	calcium ion binding
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000198216	voltage-gated calcium channel complex
ENSG00000198216	regulation of ion transmembrane transport
ENSG00000198216	voltage-gated calcium channel activity
ENSG00000198216	calcium ion binding
ENSG00000198216	plasma membrane
ENSG00000198216	energy reserve metabolic process
ENSG00000198216	transport
ENSG00000198216	synaptic transmission
ENSG00000198216	high voltage-gated calcium channel activity
ENSG00000198216	small molecule metabolic process
ENSG00000198216	regulation of insulin secretion
ENSG00000198216	membrane depolarization
ENSG00000198216	calcium ion import
ENSG00000198216	membrane depolarization during action potential
ENSG00000198216	ion channel activity
ENSG00000198216	ion transport
ENSG00000198216	transmembrane transport
ENSG00000198216	membrane
ENSG00000109158	GABA-A receptor activity
ENSG00000109158	extracellular ligand-gated ion channel activity
ENSG00000109158	chloride channel activity
ENSG00000109158	plasma membrane
ENSG00000109158	integral component of plasma membrane
ENSG00000109158	transport
ENSG00000109158	transport
ENSG00000109158	gamma-aminobutyric acid signaling pathway
ENSG00000109158	synaptic transmission
ENSG00000109158	benzodiazepine receptor activity
ENSG00000109158	cell junction
ENSG00000109158	ion transmembrane transport
ENSG00000109158	chloride channel complex
ENSG00000109158	postsynaptic membrane
ENSG00000109158	transmembrane transport
ENSG00000109158	chloride transmembrane transport
ENSG00000109158	ion transport
ENSG00000109158	membrane
ENSG00000109158	integral component of membrane
ENSG00000109158	central nervous system development
ENSG00000109158	regulation of response to drug
ENSG00000109158	
ENSG00000109158	
ENSG00000109158	
ENSG00000154479	
ENSG00000154479	
ENSG00000154479	
ENSG00000183775	cell junction
ENSG00000183775	presynaptic membrane
ENSG00000183775	postsynaptic membrane
ENSG00000183775	protein homooligomerization
ENSG00000183775	protein binding
ENSG00000183775	cell junction
ENSG00000183775	presynaptic membrane
ENSG00000183775	postsynaptic membrane
ENSG00000183775	protein homooligomerization
ENSG00000183775	protein binding
ENSG00000183775	receptor complex
ENSG00000183775	regulation of G-protein coupled receptor protein signaling pathway
ENSG00000110427	
ENSG00000110427	integral component of membrane
ENSG00000110427	integral component of membrane
ENSG00000221986	molecular_function
ENSG00000221986	cellular_component
ENSG00000221986	biological_process
ENSG00000221986	protein binding
ENSG00000174963	metal ion binding
ENSG00000174963	DNA binding
ENSG00000174963	nucleus
ENSG00000174963	metal ion binding
ENSG00000174963	DNA binding
ENSG00000174963	nucleus
ENSG00000174963	metal ion binding
ENSG00000174963	DNA binding
ENSG00000174963	nucleus
ENSG00000174963	DNA binding
ENSG00000174963	nucleus
ENSG00000174963	metal ion binding
ENSG00000174963	metal ion binding
ENSG00000174963	
ENSG00000174963	
ENSG00000174963	metal ion binding
ENSG00000174963	DNA binding
ENSG00000174963	nucleus
ENSG00000174963	metal ion binding
ENSG00000174963	DNA binding
ENSG00000174963	nucleus
ENSG00000174963	nucleus
ENSG00000174963	DNA binding
ENSG00000183317	
ENSG00000183317	protein kinase activity
ENSG00000183317	ATP binding
ENSG00000183317	protein phosphorylation
ENSG00000183317	protein binding
ENSG00000183317	transferase activity, transferring phosphorus-containing groups
ENSG00000183317	protein tyrosine kinase activity
ENSG00000183317	protein binding
ENSG00000183317	ephrin receptor activity
ENSG00000183317	transmembrane-ephrin receptor activity
ENSG00000183317	protein binding
ENSG00000183317	protein binding
ENSG00000183317	ATP binding
ENSG00000183317	integral component of plasma membrane
ENSG00000183317	biological_process
ENSG00000183317	integral component of membrane
ENSG00000183317	peptidyl-tyrosine phosphorylation
ENSG00000183317	ephrin receptor signaling pathway
ENSG00000183317	extracellular vesicular exosome
ENSG00000183317	protein kinase activity
ENSG00000183317	protein phosphorylation
ENSG00000183317	transferase activity, transferring phosphorus-containing groups
ENSG00000183317	transmembrane receptor protein tyrosine kinase signaling pathway
ENSG00000183317	protein tyrosine kinase activity
ENSG00000183317	protein binding
ENSG00000183317	ephrin receptor activity
ENSG00000183317	transmembrane-ephrin receptor activity
ENSG00000183317	protein binding
ENSG00000183317	ATP binding
ENSG00000183317	integral component of plasma membrane
ENSG00000183317	biological_process
ENSG00000183317	integral component of membrane
ENSG00000183317	peptidyl-tyrosine phosphorylation
ENSG00000183317	ephrin receptor signaling pathway
ENSG00000183317	extracellular vesicular exosome
ENSG00000183317	ephrin receptor activity
ENSG00000183317	ATP binding
ENSG00000183317	integral component of plasma membrane
ENSG00000183317	peptidyl-tyrosine phosphorylation
ENSG00000183317	ephrin receptor signaling pathway
ENSG00000183317	transmembrane-ephrin receptor activity
ENSG00000183317	protein binding
ENSG00000183317	protein binding
ENSG00000183317	biological_process
ENSG00000183317	integral component of membrane
ENSG00000183317	extracellular vesicular exosome
ENSG00000183317	protein kinase activity
ENSG00000183317	protein phosphorylation
ENSG00000183317	transferase activity, transferring phosphorus-containing groups
ENSG00000183317	transmembrane receptor protein tyrosine kinase signaling pathway
ENSG00000183317	protein tyrosine kinase activity
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000185760	potassium ion transport
ENSG00000185760	voltage-gated potassium channel activity
ENSG00000183317	protein binding
ENSG00000185760	inward rectifier potassium channel activity
ENSG00000185760	delayed rectifier potassium channel activity
ENSG00000185760	plasma membrane
ENSG00000185760	protein complex assembly
ENSG00000185760	synaptic transmission
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	regulation of ion transmembrane transport
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000185760	inward rectifier potassium channel activity
ENSG00000185760	delayed rectifier potassium channel activity
ENSG00000185760	plasma membrane
ENSG00000185760	protein complex assembly
ENSG00000185760	synaptic transmission
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	regulation of ion transmembrane transport
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000185760	voltage-gated potassium channel activity
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	voltage-gated potassium channel activity
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	
ENSG00000185760	inward rectifier potassium channel activity
ENSG00000185760	delayed rectifier potassium channel activity
ENSG00000185760	plasma membrane
ENSG00000185760	protein complex assembly
ENSG00000185760	synaptic transmission
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	regulation of ion transmembrane transport
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000185760	inward rectifier potassium channel activity
ENSG00000185760	delayed rectifier potassium channel activity
ENSG00000185760	plasma membrane
ENSG00000185760	protein complex assembly
ENSG00000185760	synaptic transmission
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	regulation of ion transmembrane transport
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000185760	inward rectifier potassium channel activity
ENSG00000185760	delayed rectifier potassium channel activity
ENSG00000185760	plasma membrane
ENSG00000185760	protein complex assembly
ENSG00000185760	synaptic transmission
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	regulation of ion transmembrane transport
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000185760	voltage-gated potassium channel activity
ENSG00000185760	voltage-gated potassium channel complex
ENSG00000185760	potassium ion transmembrane transport
ENSG00000185760	ion channel activity
ENSG00000185760	ion transport
ENSG00000185760	transmembrane transport
ENSG00000185760	membrane
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	protein binding
ENSG00000152822	plasma membrane
ENSG00000152822	integral component of plasma membrane
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled glutamate receptor signaling pathway
ENSG00000152822	synaptic transmission
ENSG00000152822	glutamate receptor activity
ENSG00000152822	cell death
ENSG00000152822	postsynaptic density
ENSG00000152822	G-protein coupled receptor dimeric complex
ENSG00000152822	G-protein coupled receptor homodimeric complex
ENSG00000152822	dimeric G-protein coupled receptor signaling pathway
ENSG00000152822	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway
ENSG00000152822	regulation of synaptic transmission, glutamatergic
ENSG00000152822	integral component of membrane
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	protein binding
ENSG00000152822	plasma membrane
ENSG00000152822	integral component of plasma membrane
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled glutamate receptor signaling pathway
ENSG00000152822	synaptic transmission
ENSG00000152822	glutamate receptor activity
ENSG00000152822	cell death
ENSG00000152822	postsynaptic density
ENSG00000152822	G-protein coupled receptor dimeric complex
ENSG00000152822	G-protein coupled receptor homodimeric complex
ENSG00000152822	dimeric G-protein coupled receptor signaling pathway
ENSG00000152822	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway
ENSG00000152822	regulation of synaptic transmission, glutamatergic
ENSG00000152822	integral component of membrane
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	protein binding
ENSG00000152822	plasma membrane
ENSG00000152822	integral component of plasma membrane
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled glutamate receptor signaling pathway
ENSG00000152822	synaptic transmission
ENSG00000152822	glutamate receptor activity
ENSG00000152822	cell death
ENSG00000152822	postsynaptic density
ENSG00000152822	G-protein coupled receptor dimeric complex
ENSG00000152822	G-protein coupled receptor homodimeric complex
ENSG00000152822	dimeric G-protein coupled receptor signaling pathway
ENSG00000152822	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway
ENSG00000152822	regulation of synaptic transmission, glutamatergic
ENSG00000152822	integral component of membrane
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	protein binding
ENSG00000152822	plasma membrane
ENSG00000152822	integral component of plasma membrane
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled receptor signaling pathway
ENSG00000152822	protein kinase C-activating G-protein coupled receptor signaling pathway
ENSG00000152822	G-protein coupled glutamate receptor signaling pathway
ENSG00000152822	synaptic transmission
ENSG00000152822	glutamate receptor activity
ENSG00000152822	cell death
ENSG00000152822	postsynaptic density
ENSG00000152822	G-protein coupled receptor dimeric complex
ENSG00000152822	G-protein coupled receptor homodimeric complex
ENSG00000152822	dimeric G-protein coupled receptor signaling pathway
ENSG00000152822	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway
ENSG00000152822	regulation of synaptic transmission, glutamatergic
ENSG00000152822	integral component of membrane
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	G-protein coupled receptor activity
ENSG00000152822	protein binding
